Time; UserTime; User; Text; Sentiment; Candidate; Place; Latitude; Longitude;
2015-12-14 22:57:07; Propongo prohibir a los polticos emplear la palabra "solidaridad". Ruego apoyos por el bien de la solidaridad!! #CaraACara; Mar Castro; neutral; Ninguno; Lugo, Galicia; 43.0396042; -7.45660706651; 
2015-12-14 22:56:52; @jordievole mrala #CaraACara que es la tercera....; Azahara Santos Ruiz; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:56:39; @AnquitaIP @academia_tv Pues me lo grabo y lo veo maana #modosadismo #CaraACara; FERNANDOGARCIABILBAO; neutral; Ninguno; Moralzarzal, Comunidad de Madrid; 40.6791436; -3.9720985; 
2015-12-14 22:56:34; Expliqumoslo: Sr Rajoy, nos baja tanto la libido a tod@s que la maternidad est muy complicada @Glocalistas_TW #CaraACara #PedroPresidente; Fernando; neutral; Ambos; Zaragoza, Aragon; 41.6521342; -0.8809428; 
2015-12-14 22:56:25; #CaraACaraL6  #CaraACara #JetaAJeta  https://t.co/SSqZg7NgHi; Joan Orquin; neutral; Ninguno; Oliva, Comunidad Valenciana; 38.9201993; -0.1209744; 
2015-12-14 22:56:13; #CaraACara #PedroSanchez a jefe de campaa :  + como vamos ??  - si lo matas empatamos  #laqueestasliandopedrito; SALVA GIL; neutral; Pedro Sanchez; Malaga, Andalusia; 36.7210805; -4.4210409; 
2015-12-14 22:55:25; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/a9IGH3LAoB; Conxa Blasco Gomis; neutral; Pedro Sanchez; Manises, Comunidad Valenciana; 39.492989; -0.4621429; 
2015-12-14 22:55:07; Quedan 5 minutos para publicar encuestas. Que bien se han montado el chiringuito menda y lerenda. #CaraACaraL6 #JetaAJeta  #CaraACara; Joan Orquin; neutral; Ninguno; Oliva, Comunidad Valenciana; 38.9201993; -0.1209744; 
2015-12-14 22:54:21; s que un #caraacara entre dues persones que potser no seran presidents s raruno; Ruth Gumbau; neutral; Ninguno; Vallcarca i els Penitents; 41.41571215; 2.14146925844; 
2015-12-14 22:53:17; Rajoy textual:"Hay algo que yo no haya recortado?" Looool #Caraacara; Carlos Herranz; neutral; Mariano Rajoy; Paris, Ile-de-France; 48.8565056; 2.3521334; 
2015-12-14 22:53:04; Iban empate a cero, pero @sanchezcastejon se ha metido un gol en propia puerta #CaraACara; FERNANDOGARCIABILBAO; neutral; Pedro Sanchez; Moralzarzal, Comunidad de Madrid; 40.6791436; -3.9720985; 
2015-12-14 22:52:58; No #Podemos ningunear a los #Ciudadanos en el debate #CaraACara; Cristina Salvador; neutral; Ninguno; Barcelona, Catalonia; 41.3825596; 2.1771353; 
2015-12-14 22:52:23; @sandraextrem Vaya debate entre @marianorajoy y @sanchezcastejon en el #CaraACara, veremos quien gana  :}; ROBIN DESCHANEL; positive; Ambos; Aspe, Comunidad Valenciana; 38.3459902; -0.7692125; 
2015-12-14 22:52:12; "El tema de la emigracin es porque hay gente que no puede vivir en su pas", dice Rajoy. Por ejemplo, en un pas llamado Espaa. #CaraACara; Paloma Jara; neutral; Mariano Rajoy; Seville, Andalusia; 37.3886303; -5.9953171; 
2015-12-14 22:51:41; .@estherpalomera #CaraACara Mariano ordena a M AA.EE repatriar de Gaza a #Jaldia Abu Braka candidata senado x UP - IU antes de iros a casa.; Unidad Popular; neutral; Mariano Rajoy; Zaragoza, Aragon; 41.6521342; -0.8809428; 
